episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
120,1.0,3.199948597160644,0.683239579187617,0.2319763408926778,0.0,2.1,6,0.0,False,True,0.7917724121067881,1,17.709159380834848,1157.531,prepare,0.0,0
120,2.0,3.1997327938476547,0.6831032114197833,0.18326595495146542,-8.0,3.2,3,0.5642137569247785,False,True,0.7905513581379262,1,17.709159380834848,1157.6,in_progress,0.0,0
120,3.0,3.2109442770179486,0.6859997762521003,0.8640189221485565,0.0,3.6,7,0.6867775956217601,False,True,0.8538853594658622,1,17.709159380834848,1157.669,in_progress,0.0,0
120,4.0,3.236688661635572,0.6900424383796674,1.7252025408454912,-18.0,1.5,0,0.20814610920519908,False,True,0.9992934196001989,1,17.709159380834848,1157.744,in_progress,0.0,0
120,5.0,3.274613908065338,0.682314060113922,-0.4197289715853789,-8.0,3.2,3,0.6133586106362234,False,True,1.2133824476205886,1,17.709159380834848,1157.809,in_progress,0.0,0
120,6.0,3.3234958379849946,0.6690173685507829,-3.5057122817725928,7.5,3.2,11,0.5736826437627812,False,True,1.489293403084662,2,17.709159380834848,1157.874,in_progress,0.0,0
120,7.0,3.3827739367222653,0.6585563257566562,-5.168372650657201,4.0,3.5,9,0.6095415483379542,False,True,1.8241129993876066,2,17.709159380834848,1157.952,in_progress,0.0,0
120,8.0,3.4707238265940883,0.6524489485670473,-4.775797004985384,-18.0,3.0,1,0.5184930106258154,False,True,2.3207392748982976,3,17.709159380834848,1158.008,in_progress,0.0,0
120,9.0,3.5512248171525806,0.6414885880548942,-5.704655139600688,15.0,1.6,12,0.20580825624451443,False,True,2.7752625545244887,3,17.709159380834848,1158.07,in_progress,0.0,0
120,10.0,3.642021528553974,0.6247014747530446,-7.4650636289327945,4.0,3.5,9,0.4994066141857202,False,True,3.2879354665623515,4,17.709159380834848,1158.151,in_progress,0.0,0
120,11.0,3.7597196622558084,0.6125699261297854,-6.799147718868532,30.0,1.2,14,0.1288275604068231,False,True,3.952534362657223,5,17.709159380834848,1158.208,in_progress,0.0,0
120,12.0,3.8633303793959364,0.6115775508684894,-4.3551934677859405,0.0,2.1,6,0.2554178087307375,False,True,4.5376112620889,5,17.709159380834848,1158.269,in_progress,0.0,0
120,13.0,3.9656210104918688,0.6083680743390273,-3.4462922944241594,-18.0,1.5,0,0.15538099293348479,False,True,5.115219359214429,6,17.709159380834848,1158.336,in_progress,0.0,0
120,14.0,4.070948948268612,0.596555044343594,-4.521705950182337,7.5,2.0,10,0.1991519146641557,False,True,5.709961462297261,7,17.709159380834848,1158.404,in_progress,0.0,0
120,15.0,4.184923570471284,0.5795351325931514,-6.220044856721833,30.0,1.3,15,0.08790403758960993,False,True,6.353515717414469,8,17.709159380834848,1158.477,in_progress,0.0,0
120,16.0,4.296034040364754,0.5684168519068878,-6.050911566616803,30.0,1.3,15,0.06909844373934843,False,True,6.98090774225909,8,17.709159380834848,1158.539,in_progress,0.0,0
120,17.0,4.393216917922028,0.5686790647084439,-3.7901852565783356,-8.0,1.7,2,0.08605038171734988,False,True,7.529680066649213,9,17.709159380834848,1158.598,in_progress,0.0,0
120,18.0,4.494111212565597,0.5651177732641579,-3.2574557922011493,4.0,2.0,8,0.11138884723921266,False,True,8.09940490521818,10,17.709159380834848,1158.672,in_progress,0.0,0
120,19.0,4.590934226243011,0.553295325123779,-4.6505939309032875,-5.0,3.3,5,0.18642227087258653,False,True,8.646112080542412,10,17.709159380834848,1158.738,in_progress,0.0,0
120,20.0,4.716202482207381,0.5329297481342653,-6.75123391840738,30.0,1.3,15,0.029910070836358355,False,True,9.353419393380639,11,17.709159380834848,1158.807,in_progress,0.0,0
120,21.0,4.8333567214410085,0.5069871006600521,-10.011947649191518,4.0,3.5,9,0.06131479190836879,False,True,10.014909014137261,12,17.709159380834848,1158.867,in_progress,0.0,0
120,22.0,4.944682674544365,0.4871064966642926,-10.711403144273746,0.0,2.1,6,-0.015394953232341205,False,True,10.643496019604086,13,17.709159380834848,1158.937,in_progress,0.0,0
120,23.0,5.061666075866626,0.46723061558458706,-10.550510850670989,30.0,1.3,15,-0.038944692000879466,False,True,11.304078358328955,13,17.709159380834848,1159.009,in_progress,0.0,0
120,24.0,5.189405904555276,0.4457734623314602,-10.215326739924768,30.0,1.3,15,-0.03631554688114363,False,True,12.025424036184097,14,17.709159380834848,1159.069,in_progress,0.0,0
