episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
60,1.0,3.1999186697998443,0.6832158463054231,0.2181964713999104,-8.0,3.1,3,0.0,False,True,0.7916029906296285,1,17.709159380834848,587.658,prepare,0.0,0
60,2.0,3.199792566175006,0.6831948244866907,0.2008081985774245,-8.0,3.1,3,0.6848304574580488,False,True,0.7908905332102926,1,17.709159380834848,587.726,in_progress,0.0,0
60,3.0,3.208869662095652,0.6843710026840594,0.5044912821480151,-8.0,1.6,2,0.3202100153383414,False,True,0.8421680185046571,1,17.709159380834848,587.79,in_progress,0.0,0
60,4.0,3.229431947820984,0.6843499428232084,0.43589796338126846,-8.0,3.1,3,0.7080506670297606,False,True,0.9582670654130321,1,17.709159380834848,587.858,in_progress,0.0,0
60,5.0,3.274256956341632,0.6844274559179152,0.4222110659375691,-18.0,1.4,0,0.3105406048439248,False,True,1.2113850915044164,1,17.709159380834848,587.925,in_progress,0.0,0
60,6.0,3.323887928351906,0.6753423344607798,-1.70628252122144,-18.0,2.9,1,0.6895157645299694,False,True,1.4915621475840317,2,17.709159380834848,587.994,in_progress,0.0,0
60,7.0,3.399808591647945,0.6572365900916716,-5.1873991381738325,-18.0,2.9,1,0.7135410393884012,False,True,1.9203023182742534,2,17.709159380834848,588.057,in_progress,0.0,0
60,8.0,3.474492129654989,0.6315657923157688,-9.382026468657198,15.0,3.0,13,0.7244732233715103,False,True,2.3419882139629773,3,17.709159380834848,588.127,in_progress,0.0,0
60,9.0,3.5647498264855884,0.6047350918266517,-11.862090505082739,-8.0,1.6,2,0.39465217919563444,False,True,2.8515534039185604,3,17.709159380834848,588.186,in_progress,0.0,0
60,10.0,3.6620286888150577,0.5794570374293055,-12.756907663395749,30.0,1.3,15,0.32721239465374885,False,True,3.40082358087976,4,17.709159380834848,588.261,in_progress,0.0,0
60,11.0,3.7720970627294674,0.5547432419958002,-12.62921587517947,0.0,2.0,6,0.5041391417102286,False,True,4.0223049722183815,5,17.709159380834848,588.322,in_progress,0.0,0
60,12.0,3.879032462153359,0.5337511166129406,-12.214643952126108,0.0,2.0,6,0.4983599850751477,False,True,4.626124834742329,5,17.709159380834848,588.388,in_progress,0.0,0
60,13.0,3.979236464581619,0.5083199666833514,-13.080930879053447,0.0,3.5,7,0.8291276387080919,False,True,5.191906744012573,6,17.709159380834848,588.456,in_progress,0.0,0
60,14.0,4.098344657751507,0.474358334785635,-14.37612192327294,4.0,3.4,9,0.808785692257016,False,True,5.864419669837805,7,17.709159380834848,588.523,in_progress,0.0,0
60,15.0,4.249573511617727,0.43582711978211214,-14.374482059407683,30.0,1.3,15,0.3673665211203935,False,True,6.718293641525361,8,17.709159380834848,588.592,in_progress,0.0,0
60,16.0,4.389228701984574,0.407473024330315,-13.111451277100647,30.0,1.3,15,0.3525107718994659,False,True,7.506832091148487,9,17.709159380834848,588.663,in_progress,0.0,0
60,17.0,4.51564148674784,0.391559029967765,-10.472258621738831,7.5,1.7,10,0.42890272015112735,False,True,8.220633431374338,10,17.709159380834848,588.73,in_progress,0.0,0
60,18.0,4.6324403039318165,0.38404744921993045,-7.601616046404586,-5.0,1.8,4,0.4453283219024247,False,True,8.88013711847224,11,17.709159380834848,588.799,in_progress,0.0,0
60,19.0,4.7573537150448155,0.371516919237077,-6.92467177200418,4.0,1.9,8,0.4623409363398731,False,False,9.585441356473916,11,17.709159380834848,588.865,in_progress,0.0,0
60,20.0,4.871254164843941,0.3591606405161489,-6.619484947836939,-8.0,1.6,2,0.3775929017002575,False,False,10.228579341453099,12,17.709159380834848,588.92,in_progress,0.0,0
60,21.0,4.973282506180403,0.34853566752931825,-6.381541634052326,-8.0,1.6,2,0.35943684870420506,False,False,10.804689138160235,13,17.709159380834848,588.991,in_progress,0.0,0
60,22.0,5.107780231893633,0.3254027669173795,-7.991799382605488,7.5,3.2,11,0.7045780665634318,False,False,11.564193376020594,14,17.709159380834848,589.066,in_progress,0.0,0
60,23.0,5.238445353080979,0.30226479342503915,-8.92071847543254,30.0,1.3,15,0.2974335543423891,False,False,12.30209504179116,15,17.709159380834848,589.131,in_progress,0.0,0
60,24.0,5.3509609850511195,0.2920825389176499,-7.786038041024429,30.0,1.0,14,0.21278585873474726,False,False,12.937105529781986,15,17.709159380834848,589.196,in_progress,0.0,0
60,25.0,5.4635734019659745,0.29212288942987963,-4.446499712164743,15.0,1.5,12,0.3046793578739383,False,False,13.570755551116665,16,17.709159380834848,589.261,in_progress,0.0,0
60,26.0,5.558125345510904,0.2969136765295894,-1.8662202312309568,15.0,3.0,13,0.5696168290411256,False,False,14.104710088936814,17,17.709159380834848,589.327,in_progress,0.0,0
60,27.0,5.660808185148063,0.3140056451089389,2.487463902625253,-5.0,1.8,4,0.35949355037185127,False,False,14.688421365211973,17,17.709159380834848,589.397,in_progress,0.0,0
60,28.0,5.783913430864139,0.33257301328121047,5.0605639941586515,-8.0,3.1,3,0.6160347769398782,False,False,15.392069453416521,18,17.709159380834848,589.454,in_progress,0.0,0
60,29.0,5.896497685868718,0.3406466931268407,4.6264763572526,30.0,1.3,15,0.25627074520305426,False,False,16.027592251253992,19,17.709159380834848,589.53,in_progress,0.0,0
60,30.0,6.02344650856566,0.34933720260378176,3.6017505572908157,4.0,1.9,8,0.3400381654949297,False,False,16.751265092991087,20,17.709159380834848,589.595,in_progress,0.0,0
60,31.0,6.147132959086645,0.36421201296199723,5.040713648164156,30.0,1.3,15,0.21038072727472715,False,False,17.38785361428736,21,17.709159380834848,589.66,in_progress,0.0,0
60,32.0,6.266148134391872,0.38637289860157664,7.339301849093509,7.5,1.7,10,0.23371225873867116,False,False,17.965392403430283,21,17.709159380834848,589.732,in_progress,0.0,0
60,33.0,6.379780178413019,0.41553795414665534,10.353678852120732,30.0,1.3,15,0.1815095354835047,False,False,18.605601276987706,22,17.709159380834848,589.793,in_progress,0.0,0
60,34.0,6.468040637971699,0.4462151413104464,13.464531380142038,15.0,3.0,13,0.35908539531295464,False,True,19.050350354638777,23,17.709159380834848,589.864,in_progress,0.0,0
60,35.0,6.579393384381403,0.49729099382696695,18.53973174660595,30.0,1.0,14,0.10690076483425155,False,True,19.451677887143916,23,17.709159380834848,589.92,in_progress,0.0,0
60,36.0,6.668407672313532,0.5537197262171114,24.971999449299116,15.0,3.0,13,0.4159830814520975,False,True,20.02733849115087,24,17.709159380834848,589.987,in_progress,0.0,0
60,37.0,6.742417646286639,0.6101891552140621,29.758426113320787,30.0,1.3,15,0.1414764704810219,False,True,20.349607442848242,24,17.709159380834848,590.054,in_progress,0.0,0
60,38.0,6.825537994615382,0.6919739377592998,36.7953445611523,30.0,1.3,15,0.2229768895127655,False,True,20.984283235341973,25,17.709159380834848,590.136,in_progress,0.0,0
60,39.0,6.910477338111325,0.793001268746481,43.25392914462323,4.0,1.9,8,0.309514787129913,False,True,21.620666625527015,26,17.709159380834848,590.194,in_progress,0.0,0
60,40.0,6.960215871983599,0.8599812811065977,46.447665888612946,30.0,1.0,14,0.122053100047723,False,True,22.002153375262576,26,17.709159380834848,590.258,in_progress,0.0,0
60,41.0,7.018197335938404,0.9431724016028665,49.702363935137086,7.5,1.7,10,0.254359201086923,False,True,22.559196492979062,27,17.709159380834848,590.324,in_progress,0.0,0
60,42.0,7.0651481031786,1.03126784010952,54.28227993065667,7.5,3.2,11,0.4323739816873511,False,True,23.04621605686667,27,17.709159380834848,590.397,in_progress,0.0,0
60,43.0,7.110317313887209,1.1337676438153672,59.195524017011536,-8.0,1.6,2,0.2558914240132555,False,True,23.66269105873288,28,17.709159380834848,590.465,in_progress,0.0,0
60,44.0,7.163510446251622,1.234982388583176,60.781052017412826,30.0,1.0,14,0.15772634778720424,False,True,24.29643837651377,29,17.709159380834848,590.529,in_progress,0.0,0
60,45.0,7.217194286876644,1.3292056215674704,60.376980275889835,15.0,1.5,12,0.17289648341355016,False,True,24.897352012696956,29,17.709159380834848,590.597,in_progress,0.0,0
60,46.0,7.262559386189897,1.42237024934098,61.83359525154138,30.0,1.0,14,0.1012878477332957,False,True,25.462483516131734,30,17.709159380834848,590.663,in_progress,0.0,0
60,47.0,7.291972963942397,1.507076709836276,65.07030518638277,15.0,3.0,13,0.2503780876609141,False,True,25.96793769387256,31,17.709159380834848,590.728,in_progress,0.0,0
60,48.0,7.310576403049539,1.593023031723555,69.33415120242171,15.0,1.5,12,0.12075922242791934,False,True,26.42653308857143,31,17.709159380834848,590.786,in_progress,0.0,0
60,49.0,7.315690877795858,1.6975942078520723,76.31741265038423,7.5,3.2,11,0.3342238464409329,False,True,27.01752511912769,32,17.709159380834848,590.864,in_progress,0.0,0
60,50.0,7.313108049746819,1.825502476928734,83.16634810210239,15.0,3.0,13,0.35821685574836315,False,True,27.70148333755355,33,17.709159380834848,590.93,in_progress,0.0,0
60,51.0,7.293351318597297,1.9459748601840965,90.76098648960769,4.0,1.9,8,0.26738802657684224,False,True,28.368889085224914,33,17.709159380834848,590.999,in_progress,0.0,0
60,52.0,7.256706753730184,2.0876016508220165,98.55226192248003,0.0,3.5,7,0.5304480285331437,False,True,29.16545594471156,34,17.709159380834848,591.064,in_progress,0.0,0
60,53.0,7.2194715005745556,2.2154675786183375,102.44474624552767,7.5,3.2,11,0.47710703649665165,False,True,29.867155866142063,35,17.709159380834848,591.126,in_progress,0.0,0
60,54.0,7.1705350051524865,2.3424686401473065,106.70346658145745,15.0,1.5,12,0.25491193366469767,False,True,30.55904025203301,36,17.709159380834848,591.181,in_progress,0.0,0
60,55.0,7.103184116711887,2.4713340728991593,113.40611671016435,15.0,1.5,12,0.2953615700536627,False,True,31.3487466722458,37,17.709159380834848,591.263,in_progress,0.0,0
60,56.0,7.026728636771384,2.592106828554588,119.51924182772808,30.0,1.3,15,0.26645396493663054,False,True,32.079329655268054,38,17.709159380834848,591.335,in_progress,0.0,0
60,57.0,6.946599847725223,2.6966745972105297,124.57430201685007,15.0,1.5,12,0.2926469849130905,False,True,32.70193030496802,39,17.709159380834848,591.395,in_progress,0.0,0
60,58.0,6.876961658678462,2.773525291457042,127.86946721182503,30.0,1.3,15,0.22700256853507528,False,True,33.121301234660606,39,17.709159380834848,591.464,in_progress,0.0,0
60,59.0,6.7916287652246305,2.849981300242878,132.1096988760793,15.0,1.5,12,0.3151083070401006,False,True,33.75215129231391,40,17.709159380834848,591.532,in_progress,0.0,0
60,60.0,6.70992594281177,2.9088708143288455,136.61929874250853,15.0,1.5,12,0.2806840162671132,False,True,34.12125691911166,40,17.709159380834848,591.586,in_progress,0.0,0
60,61.0,6.633413105667159,2.95462099032308,140.82396880864073,15.0,3.0,13,0.6257705879832581,False,True,34.61613979515504,41,17.709159380834848,591.664,in_progress,0.0,0
60,62.0,6.522598402817885,3.010343854711002,146.35311651604786,15.0,1.5,12,0.33084457190396926,False,True,35.08160623442137,41,17.709159380834848,591.73,in_progress,0.0,0
60,63.0,6.416133340610409,3.048191828671483,152.11446953704962,15.0,1.5,12,0.3565466898298556,False,True,35.58281006857481,42,17.709159380834848,591.793,in_progress,0.0,0
60,64.0,6.305081346374718,3.0778265815698536,157.50343608337968,15.0,1.5,12,0.37664419752144834,False,True,36.13094506229233,43,17.709159380834848,591.864,in_progress,0.0,0
60,65.0,6.193575864114457,3.09614608900448,162.8566729025662,30.0,1.3,15,0.32911250055251917,False,False,36.68091123658315,43,17.709159380834848,591.935,in_progress,0.0,0
60,66.0,6.082009816009786,3.1065873905317085,167.65304800242083,15.0,3.0,13,0.7689099430734649,False,False,37.28587021619818,44,17.709159380834848,591.996,in_progress,0.0,0
60,67.0,5.984900022984983,3.1063324808528803,172.17455918851735,30.0,1.3,15,0.32843000015767193,False,False,37.80315440517821,45,17.709159380834848,592.057,in_progress,0.0,0
60,68.0,5.884641623903791,3.0920857510371422,178.27824532253806,-8.0,1.6,2,0.4076230440406978,False,False,38.3691324553683,45,17.709159380834848,592.114,in_progress,0.0,0
60,69.0,5.782163241888176,3.084044953489302,-179.44749455703612,-18.0,2.9,1,0.7226128460986537,False,False,38.94818359897546,46,17.709159380834848,592.188,in_progress,0.0,0
60,70.0,5.676369631516752,3.088623208403763,179.26955537524915,-18.0,2.9,1,0.723811092126281,False,False,39.54680896012275,47,17.709159380834848,592.26,in_progress,0.0,0
60,71.0,5.530634167773528,3.118388315805224,173.61825046417997,-8.0,1.6,2,0.4600690345245543,False,False,40.37676311896037,48,17.709159380834848,592.332,in_progress,0.0,0
60,72.0,5.4048545778668435,3.15940905051243,167.78094571788782,15.0,3.0,13,0.7886556831837529,False,False,41.08564309572715,48,17.709159380834848,592.392,in_progress,0.0,0
60,73.0,5.28391733943056,3.1957033476986814,165.92451348249693,7.5,3.2,11,0.8256579348241804,False,False,41.727394808185295,49,17.709159380834848,592.461,in_progress,0.0,0
60,74.0,5.134868994050325,3.2208480803977735,168.28944860314516,30.0,1.3,15,0.40181882149087494,False,False,42.632098913324675,50,17.709159380834848,592.526,in_progress,0.0,0
60,75.0,4.976991223355579,3.2298057583554005,173.55265360879878,-18.0,2.9,1,0.8327702838009245,False,False,43.83169023210438,52,17.709159380834848,592.6,in_progress,0.0,0
60,76.0,4.820533383797265,3.239307973366124,175.0712090478597,-8.0,1.6,2,0.5793829878389323,False,False,45.369361924188055,54,17.709159380834848,592.648,in_progress,0.0,0
60,77.0,4.712534813464651,3.259517217291204,172.80672613857368,30.0,1.3,15,0.40269774701744143,False,False,46.36072006243152,55,17.709159380834848,592.724,in_progress,0.0,0
60,78.0,4.567697578340242,3.2890086987473564,170.36391401783882,-18.0,1.4,0,0.47617375721061506,False,False,47.58501215038529,56,17.709159380834848,592.788,in_progress,0.0,0
60,79.0,4.447925447530031,3.3078046885352648,170.63772935874871,-18.0,2.9,1,0.6875170710303207,False,False,48.12514783118097,57,17.709159380834848,592.85,in_progress,0.0,0
60,80.0,4.339493631826141,3.337984897063057,167.94313622074534,-8.0,1.6,2,0.4121020464543923,False,True,48.730581959798165,58,17.709159380834848,592.927,in_progress,0.0,0
60,81.0,4.222584409844157,3.3865916050977676,163.16917021178006,-8.0,1.6,2,0.42897501871409355,False,True,49.3715241051295,58,17.709159380834848,592.994,in_progress,0.0,0
60,82.0,4.114995801472883,3.440223999466118,159.05854975188055,-18.0,1.4,0,0.37950224371143565,False,True,49.98782763178889,59,17.709159380834848,593.058,in_progress,0.0,0
60,83.0,4.024205798853353,3.4928259378934783,155.54585323439937,-5.0,3.3,5,0.8437658866341285,False,True,50.53901822761154,60,17.709159380834848,593.122,in_progress,0.0,0
60,84.0,3.9337762476658193,3.5460030517614594,153.16326468675527,-8.0,3.1,3,0.796058887048535,False,True,51.09455424027449,60,17.709159380834848,593.19,in_progress,0.0,0
60,85.0,3.834642721942894,3.6194388136415863,148.74158976443476,-8.0,3.1,3,0.8135129309015751,False,True,51.769568620713216,61,17.709159380834848,593.264,in_progress,0.0,0
60,86.0,3.7223825202802776,3.725943009648819,141.77356146161733,-18.0,2.9,1,0.7734503446338075,False,True,52.636311277399386,62,17.709159380834848,593.333,in_progress,0.0,0
60,87.0,3.6236935973692512,3.840263661460454,135.3806824795106,-5.0,3.3,5,0.8062229784104928,False,True,53.489041602141405,63,17.709159380834848,593.384,in_progress,0.0,0
60,88.0,3.5251240750558566,3.9782250674483652,128.90241144588782,-18.0,1.4,0,0.36859124533652576,False,True,54.44346423376795,64,17.709159380834848,593.468,in_progress,0.0,0
60,89.0,3.436554260259276,4.126772069749916,121.49652768810222,7.5,1.7,10,0.35676182797114064,False,True,55.40975853265018,65,17.709159380834848,593.529,in_progress,0.0,0
60,90.0,3.3707955127905893,4.2479966723966855,116.41856851362138,30.0,1.0,14,0.17509085925141676,False,True,56.17803000148304,66,17.709159380834848,593.592,in_progress,0.0,0
60,91.0,3.303555913151318,4.362741876697214,114.60505793893401,30.0,1.3,15,0.15542573220282307,False,True,56.854529933970944,67,17.709159380834848,593.663,in_progress,0.0,0
60,92.0,3.2308968811463954,4.469624421390338,116.37287880778574,30.0,1.3,15,0.1429382371845166,False,True,57.522108140571035,68,17.709159380834848,593.728,in_progress,0.0,0
60,93.0,3.1625432258399853,4.55335651860582,121.36405381843173,30.0,1.3,15,0.11501421760231362,False,True,58.02071435573778,69,17.709159380834848,593.791,in_progress,0.0,0
60,94.0,3.0972263446595414,4.62375580269924,125.43054302132703,15.0,1.5,12,0.11469494002304037,False,True,58.42252103827333,69,17.709159380834848,593.848,in_progress,0.0,0
60,95.0,3.0269057853833017,4.688913577938932,129.58919182627312,30.0,1.0,14,0.06230042102660717,False,True,58.737561194487355,69,17.709159380834848,593.931,in_progress,0.0,0
60,96.0,2.939517590678034,4.7527629483516,135.2737165537414,30.0,1.3,15,0.15153949047530332,False,True,59.29163793958783,70,17.709159380834848,593.994,in_progress,0.0,0
60,97.0,2.8623733269480405,4.799941772904949,139.742865741326,30.0,1.0,14,0.05290671277518332,False,True,59.48037828438808,70,17.709159380834848,594.059,in_progress,0.0,0
60,98.0,2.773876673258907,4.841718427180659,145.13798507412784,30.0,1.0,14,0.11974670567081415,False,True,59.97011654061898,71,17.709159380834848,594.14,in_progress,0.0,0
60,99.0,2.6949643866957276,4.867942747455655,150.33642272549923,30.0,1.0,14,0.11399350827661178,False,False,60.41804137227095,72,17.709159380834848,594.196,in_progress,0.0,0
